Location,Samp_No,SampleDate_txt,SampleTime,Matrix,SampleMedia,Activity,Analytical_Method,CAS_NO,Analyte,Result_Units,Reporting_Limit,Validation_Level,Result_Final_Txt,Result_Qualifier_Final,RL_Comparison
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-71-8,Dichlorodifluoromethane (CFC 12),ug/m3,0.11,S2AVM,3.2,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,74-87-3,Chloromethane,ug/m3,0.11,S2AVM,0.26,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-01-4,Vinyl Chloride,ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,106-99-0,"1,3-Butadiene",ug/m3,0.11,S2AVM,0.11,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,74-83-9,Bromomethane,ug/m3,0.055,S2AVM,<0.055,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-00-3,Chloroethane,ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,107-02-8,Acrolein,ug/m3,0.44,S2AVM,<0.44,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,67-64-1,Acetone,ug/m3,5.5,S2AVM,6.8,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-69-4,Trichlorofluoromethane,ug/m3,0.11,S2AVM,10,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-35-4,"1,1-Dichloroethene",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-09-2,Methylene chloride,ug/m3,0.22,S2AVM,0.26,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,76-13-1,"1,1,2-Trichlorotrifluoroethane",ug/m3,0.055,S2AVM,0.43,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,156-60-5,"trans-1,2-Dichloroethene",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-34-3,"1,1-Dichloroethane",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,1634-04-4,Methyl tert-butyl ether,ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,156-59-2,"cis-1,2-Dichloroethene",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,67-66-3,Chloroform,ug/m3,0.22,S2AVM,<0.22,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,107-06-2,"1,2-Dichloroethane",ug/m3,0.055,S2AVM,0.058,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,71-55-6,"1,1,1-Trichloroethane",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,71-43-2,Benzene,ug/m3,0.16,S2AVM,0.46,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,56-23-5,Carbon Tetrachloride,ug/m3,0.055,S2AVM,0.41,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,78-87-5,"1,2-Dichloropropane",ug/m3,0.055,S2AVM,<0.055,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,75-27-4,Bromodichloromethane,ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,79-01-6,Trichloroethene,ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,123-91-1,"1,4-Dioxane",ug/m3,0.22,S2AVM,0.22,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,10061-01-5,"cis-1,3-Dichloropropene",ug/m3,0.11,S2AVM,0.11,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,10061-02-6,"trans-1,3-Dichloropropene",ug/m3,0.11,S2AVM,0.11,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,79-00-5,"1,1,2-Trichloroethane",ug/m3,0.22,S2AVM,0.22,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,108-88-3,Toluene,ug/m3,0.22,S2AVM,0.94,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,124-48-1,Dibromochloromethane,ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,106-93-4,"1,2-Dibromoethane",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,127-18-4,Tetrachloroethene,ug/m3,0.055,S2AVM,<0.055,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,108-90-7,Chlorobenzene,ug/m3,0.22,S2AVM,0.22,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,100-41-4,Ethylbenzene,ug/m3,0.22,S2AVM,<0.22,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,179601-23-1,"m,p-Xylenes",ug/m3,0.22,S2AVM,0.35,J-,Yes
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,100-42-5,Styrene,ug/m3,0.22,S2AVM,<0.22,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,95-47-6,o-Xylene,ug/m3,0.22,S2AVM,<0.22,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,79-34-5,"1,1,2,2-Tetrachloroethane",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,108-67-8,"1,3,5-Trimethylbenzene",ug/m3,0.22,S2AVM,0.22,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,95-63-6,"1,2,4-Trimethylbenzene",ug/m3,0.22,S2AVM,<0.22,J-,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,541-73-1,"1,3-Dichlorobenzene",ug/m3,0.055,S2AVM,0.055,UJ,No
DW-B01,EPD-DW-B01-020623,2/6/2023,8:10,Air,Summa Canister,Air,TO-15 SIM,106-46-7,"1,4-Dichlorobenzene",ug/m3,0.055,S2AVM,0.055,UJ,No
