Location,Samp_No,SampleDate_txt,SampleTime,Matrix,SampleMedia,Activity,Analytical_Method,CAS_NO,Analyte,Result_Units,Reporting_Limit,Validation_Level,Result_Final_Txt,Result_Qualifier_Final,RL_Comparison
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW8260D,75-69-4,Trichlorofluoromethane,mg/kg,0.0064,Prelim,<0.0064,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW8260D,75-01-4,Vinyl Chloride,mg/kg,0.0064,Prelim,<0.0064,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW8260D,1330-20-7,"Xylenes, Total",mg/kg,0.0064,Prelim,<0.0064,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW8015D,DROC10C28,DRO (C10-C28),mg/Kg,9600,Prelim,<9600,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW8015D,OROC28C40,ORO (C28-C40),mg/Kg,9600,Prelim,<9600,J,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,108-60-1,"2,2`-Oxybis(1-chloropropane)",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,58-90-2,"2,3,4,6-Tetrachlorophenol",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,95-95-4,"2,4,5-Trichlorophenol",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,88-06-2,"2,4,6-Trichlorophenol",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,120-83-2,"2,4-Dichlorophenol",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,105-67-9,"2,4-Dimethylphenol",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,51-28-5,"2,4-Dinitrophenol",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,88-75-5,2-Nitrophenol,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,84989-04-8,3&4-Methylphenol,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,91-94-1,"3,3´-Dichlorobenzidine",mg/Kg,610,Prelim,<610,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,99-09-2,3-Nitroaniline,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,534-52-1,"4,6-Dinitro-2-methylphenol",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,101-55-3,4-Bromophenyl phenyl ether,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,59-50-7,4-Chloro-3-methylphenol,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW8015D,GROC6C10,GRO (C6-C10),mg/kg,7.7,Prelim,<7.7,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,92-52-4,"1,1`-Biphenyl",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,95-94-3,"1,2,4,5-Tetrachlorobenzene",mg/Kg,610,Prelim,<610,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,123-91-1,"1,4-Dioxane",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,90-12-0,1-Methylnaphthalene,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,121-14-2,"2,4-Dinitrotoluene",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,606-20-2,"2,6-Dinitrotoluene",mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,91-58-7,2-Chloronaphthalene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,95-57-8,2-Chlorophenol,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,91-57-6,2-Methylnaphthalene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,95-48-7,2-Methylphenol,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,88-74-4,2-Nitroaniline,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,106-47-8,4-Chloroaniline,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,7005-72-3,4-Chlorophenyl phenyl ether,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,100-01-6,4-Nitroaniline,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,100-02-7,4-Nitrophenol,mg/Kg,610,Prelim,<610,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,83-32-9,Acenaphthene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,208-96-8,Acenaphthylene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,98-86-2,Acetophenone,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,207-08-9,Benzo(k)fluoranthene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,111-91-1,Bis(2-chloroethoxy)methane,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,111-44-4,Bis(2-chloroethyl)ether,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,117-81-7,Bis(2-ethylhexyl)phthalate,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,85-68-7,Butyl benzyl phthalate,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,105-60-2,Caprolactam,mg/Kg,610,Prelim,<610,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,86-74-8,Carbazole,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,218-01-9,Chrysene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,53-70-3,"Dibenzo(a,h)anthracene",mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,132-64-9,Dibenzofuran,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,84-66-2,Diethyl phthalate,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,131-11-3,Dimethyl phthalate,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,84-74-2,Di-n-butyl phthalate,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,117-84-0,Di-n-octyl phthalate,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,78-59-1,Isophorone,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,91-20-3,Naphthalene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,98-95-3,Nitrobenzene,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,621-64-7,N-Nitrosodi-n-propylamine,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,86-30-6,N-Nitrosodiphenylamine,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,87-86-5,Pentachlorophenol,mg/Kg,610,Prelim,<610,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,85-01-8,Phenanthrene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,120-12-7,Anthracene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,1912-24-9,Atrazine,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,100-52-7,Benzaldehyde,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,56-55-3,Benzo(a)anthracene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,50-32-8,Benzo(a)pyrene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,205-99-2,Benzo(b)fluoranthene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,191-24-2,"Benzo(g,h,i)perylene",mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,206-44-0,Fluoranthene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,86-73-7,Fluorene,mg/Kg,12,Prelim,<12,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,118-74-1,Hexachlorobenzene,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,87-68-3,Hexachlorobutadiene,mg/Kg,61,Prelim,<61,U,No
SD-01,EPD-SD01-SR-230208,2/8/2023,17:55,Sediment,Sediment,Soil,SW846 8270D,77-47-4,Hexachlorocyclopentadiene,mg/Kg,61,Prelim,<61,U,No
