Location,Samp_No,SampleDate_txt,SampleTime,Matrix,SampleMedia,Activity,Analytical_Method,CAS_NO,Analyte,Result_Units,Reporting_Limit,Validation_Level,Result_Final_Txt,Result_Qualifier_Final,RL_Comparison
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8015D,DROC10C28,DRO (C10-C28),ug/L,100,Prelim,190000,E,Yes
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8015D,OROC28C40,ORO (C28-C40),ug/L,100,Prelim,300000,E,Yes
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8015D,GROC6C10,GRO (C6-C10),ug/L,20000,Prelim,59000,,Yes
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,92-52-4,"1,1`-Biphenyl",ug/L,60,Prelim,<60,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,95-94-3,"1,2,4,5-Tetrachlorobenzene",ug/L,300,Prelim,<300,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,123-91-1,"1,4-Dioxane",ug/L,300,Prelim,<300,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,90-12-0,1-Methylnaphthalene,ug/L,6,Prelim,<6,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,108-60-1,"2,2`-Oxybis(1-chloropropane)",ug/L,60,Prelim,<60,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,58-90-2,"2,3,4,6-Tetrachlorophenol",ug/L,60,Prelim,<60,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,95-95-4,"2,4,5-Trichlorophenol",ug/L,60,Prelim,<60,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,88-06-2,"2,4,6-Trichlorophenol",ug/L,60,Prelim,<60,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,120-83-2,"2,4-Dichlorophenol",ug/L,60,Prelim,<60,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,105-67-9,"2,4-Dimethylphenol",ug/L,60,Prelim,<60,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,51-28-5,"2,4-Dinitrophenol",ug/L,300,Prelim,<300,U,No
SW-02,EPD-SW-02-01-020423,2/4/2023,12:00,Water,Stream/River,Surface Water,SW8270E,121-14-2,"2,4-Dinitrotoluene",ug/L,60,Prelim,<60,U,No
